[Mon Apr 09 12:34:37 2012] [error] [client 127.0.0.1] PHP Warning:  require_once(/Users/denisboldinov/Sites/inmar.dev/public/framework/framework/yii.php): failed to open stream: No such file or directory in /Users/denisboldinov/Sites/inmar.dev/public/index.php on line 12
[Mon Apr 09 12:34:37 2012] [error] [client 127.0.0.1] PHP Fatal error:  require_once(): Failed opening required '/Users/denisboldinov/Sites/inmar.dev/public/framework/framework/yii.php' (include_path='.:/usr/lib/php/pear') in /Users/denisboldinov/Sites/inmar.dev/public/index.php on line 12
[Mon Apr 09 12:34:37 2012] [error] [client 127.0.0.1] File does not exist: /Users/denisboldinov/Sites/inmar.dev/public/favicon.ico, referer: http://inmar.dev/
[Mon Apr 09 12:34:38 2012] [error] [client 127.0.0.1] PHP Warning:  require_once(/Users/denisboldinov/Sites/inmar.dev/public/framework/framework/yii.php): failed to open stream: No such file or directory in /Users/denisboldinov/Sites/inmar.dev/public/index.php on line 12
[Mon Apr 09 12:34:38 2012] [error] [client 127.0.0.1] PHP Fatal error:  require_once(): Failed opening required '/Users/denisboldinov/Sites/inmar.dev/public/framework/framework/yii.php' (include_path='.:/usr/lib/php/pear') in /Users/denisboldinov/Sites/inmar.dev/public/index.php on line 12
[Mon Apr 09 12:38:10 2012] [error] [client 127.0.0.1] File does not exist: /Users/denisboldinov/Sites/inmar.dev/public/site, referer: http://inmar.dev/
[Wed Apr 11 12:24:31 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type CDetailView as array in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/widgets/CTabView.php on line 177, referer: http://inmar.dev/admin/client
[Wed Apr 11 12:31:23 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function search() on a non-object in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/views/client/view.php on line 44, referer: http://inmar.dev/admin/client
[Wed Apr 11 12:32:11 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function search() on a non-object in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/views/client/view.php on line 44, referer: http://inmar.dev/admin/client
[Wed Apr 11 12:32:12 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function search() on a non-object in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/views/client/view.php on line 44, referer: http://inmar.dev/admin/client
[Wed Apr 11 12:32:18 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getData() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/zii/widgets/CBaseListView.php on line 105, referer: http://inmar.dev/admin/client
[Wed Apr 11 12:32:19 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getData() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/zii/widgets/CBaseListView.php on line 105, referer: http://inmar.dev/admin/client
[Wed Apr 11 12:41:38 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error, expecting `T_STRING' in /Users/denisboldinov/Sites/inmar.dev/protected/models/Contract.php on line 140, referer: http://inmar.dev/admin/client
[Wed Apr 11 12:41:48 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error, expecting `T_STRING' in /Users/denisboldinov/Sites/inmar.dev/protected/models/Contract.php on line 140, referer: http://inmar.dev/admin/client
[Wed Apr 11 13:08:33 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/client
[Wed Apr 11 17:27:44 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot pass parameter 3 by reference in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/controllers/ClientController.php on line 130, referer: http://inmar.dev/admin/site/create
[Fri Apr 13 14:18:53 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getAttributeLabel() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/helpers/CHtml.php on line 1161
[Fri Apr 13 14:18:54 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getAttributeLabel() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/helpers/CHtml.php on line 1161
[Thu Apr 26 10:58:54 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getData() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/zii/widgets/CBaseListView.php on line 105, referer: http://inmar.dev/admin/site
[Thu Apr 26 10:59:19 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getData() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/zii/widgets/CBaseListView.php on line 105, referer: http://inmar.dev/admin/site
[Thu Apr 26 10:59:19 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getData() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/zii/widgets/CBaseListView.php on line 105, referer: http://inmar.dev/admin/site
[Thu May 03 15:29:29 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getErrors() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/helpers/CHtml.php on line 1592, referer: http://inmar.dev/admin/site/default/view/id/1
[Thu May 03 15:30:55 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function hasErrors() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/helpers/CHtml.php on line 1775, referer: http://inmar.dev/admin/site/default/view/id/1
[Thu May 03 15:30:55 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function hasErrors() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/helpers/CHtml.php on line 1775, referer: http://inmar.dev/admin/site/default/view/id/1
[Thu May 03 15:30:55 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function hasErrors() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/helpers/CHtml.php on line 1775, referer: http://inmar.dev/admin/site/default/view/id/1
[Thu May 03 15:31:04 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function hasErrors() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/helpers/CHtml.php on line 1775, referer: http://inmar.dev/admin/site/default/view/id/1
[Thu May 03 15:31:05 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function hasErrors() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/helpers/CHtml.php on line 1775, referer: http://inmar.dev/admin/site/default/view/id/1
[Thu May 03 15:31:05 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function hasErrors() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/helpers/CHtml.php on line 1775, referer: http://inmar.dev/admin/site/default/view/id/1
[Thu May 03 15:51:08 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/modules/service/controllers/SubscribeController.php on line 13, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:33:20 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:33:20 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:33:20 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:33:20 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:33:20 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:33:20 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:34:04 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:34:04 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:34:04 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:34:04 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:34:04 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:34:04 2012] [error] [client 127.0.0.1] PHP Parse error:  parse error in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:41:49 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getData() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/zii/widgets/CBaseListView.php on line 105, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 18:57:17 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function addErrors() on a non-object in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/modules/service/controllers/PositionController.php on line 27, referer: http://inmar.dev/admin/service/position/subscribe/siteId/1
[Mon May 07 19:00:03 2012] [error] [client 127.0.0.1] PHP Fatal error:  Cannot use object of type CActiveDataProvider as array in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/modules/service/controllers/PositionController.php on line 27, referer: http://inmar.dev/admin/service/position/subscribe/siteId/1
[Mon May 07 19:05:09 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getDbCriteria() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/CActiveDataProvider.php on line 176, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 19:05:12 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getDbCriteria() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/CActiveDataProvider.php on line 176, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 19:05:17 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getDbCriteria() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/CActiveDataProvider.php on line 176, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 19:05:26 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getDbCriteria() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/CActiveDataProvider.php on line 176
[Mon May 07 19:05:41 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getDbCriteria() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/CActiveDataProvider.php on line 176
[Mon May 07 19:06:04 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getDbCriteria() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/CActiveDataProvider.php on line 176
[Mon May 07 19:06:43 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getDbCriteria() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/CActiveDataProvider.php on line 176
[Mon May 07 19:22:08 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function validate() on a non-object in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/modules/service/controllers/PositionController.php on line 34, referer: http://inmar.dev/admin/service/position/subscribe/siteId/1
[Mon May 07 19:23:07 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function validate() on a non-object in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/modules/service/controllers/PositionController.php on line 34, referer: http://inmar.dev/admin/service/position/subscribe/siteId/1
[Mon May 07 19:23:28 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function validate() on a non-object in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/modules/service/controllers/PositionController.php on line 34, referer: http://inmar.dev/admin/service/position/subscribe/siteId/1
[Mon May 07 19:30:39 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function validate() on a non-object in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/modules/service/controllers/PositionController.php on line 36, referer: http://inmar.dev/admin/service/position/subscribe/siteId/1
[Mon May 07 19:31:37 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function validate() on a non-object in /Users/denisboldinov/Sites/inmar.dev/protected/modules/admin/modules/service/controllers/PositionController.php on line 36, referer: http://inmar.dev/admin/service/position/subscribe/siteId/1
[Mon May 07 19:50:06 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getErrors() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/helpers/CHtml.php on line 1592, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 19:50:07 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function getErrors() on a non-object in /Users/denisboldinov/Sites/inmar.dev/framework/framework/web/helpers/CHtml.php on line 1592, referer: http://inmar.dev/admin/site/default/view/id/1
[Mon May 07 19:55:40 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined method Service::getLabel() in /Users/denisboldinov/Sites/inmar.dev/framework/framework/base/CComponent.php(607) : eval()'d code on line 1, referer: http://inmar.dev/admin/service/position/subscribe/siteId/1
